indice_cliente,media_movel
413.0,8.729209816841186
414.0,8.731751310962396
415.0,8.734498545242745
416.0,8.737138972970305
417.0,8.739044789659523
418.0,8.741091768129133
419.0,8.742130755701957
420.0,8.743992729455748
421.0,8.745517831385804
422.0,8.747143862822604
423.0,8.748431929925752
424.0,8.750170565357239
425.0,8.752454438726726
426.0,8.754623556658194
427.0,8.756628764007479
428.0,8.758531371239089
429.0,8.760304184690252
430.0,8.76245902012128
431.0,8.764094716641221
432.0,8.765583251522617
433.0,8.766399815067048
434.0,8.766609933196193
435.0,8.767293423796204
436.0,8.768210273976953
437.0,8.769340664149766
438.0,8.769804782528603
439.0,8.770528957985807
440.0,8.771105780259418
441.0,8.772199778103705
442.0,8.772786133981503
443.0,8.773634405774379
444.0,8.773790040313001
445.0,8.7740367894983
446.0,8.773729173371127
447.0,8.773630873970507
448.0,8.77414721913319
449.0,8.774397708260452
450.0,8.774915663615753
451.0,8.775590115498543
452.0,8.77716951812143
453.0,8.778829117830224
454.0,8.780739988353982
455.0,8.782226220508573
456.0,8.783725412667728
457.0,8.78528052086149
458.0,8.786895357975258
459.0,8.78837267123874
460.0,8.789873288522367
461.0,8.791286714700849
462.0,8.792962047138335
463.0,8.794818502544933
464.0,8.797029255818291
465.0,8.799049193110015
466.0,8.80046129229633
467.0,8.801981943790095
468.0,8.80298432548091
469.0,8.803395972129971
470.0,8.80403096622375
471.0,8.804611206001026
472.0,8.805248704992552
473.0,8.806399211299738
474.0,8.80763645185738
475.0,8.808923444274908
476.0,8.810271676155809
477.0,8.81051790581978
478.0,8.810971566653823
479.0,8.812211003841327
480.0,8.813270970381248
481.0,8.813751955119164
482.0,8.81341710692701
483.0,8.813117387147651
484.0,8.8126395734799
485.0,8.811634358730466
486.0,8.809864400459569
487.0,8.80790830407
488.0,8.806180869476659
489.0,8.804799959733465
490.0,8.804449001390239
491.0,8.80379512518159
492.0,8.802152895749128
493.0,8.800663021176637
494.0,8.799524168376731
495.0,8.798637493404401
496.0,8.797456077185775
497.0,8.796683619167112
498.0,8.796142037414313
499.0,8.795619783658776
500.0,8.794968661808891
501.0,8.794719968225682
502.0,8.794424054738037
503.0,8.794318836537352
504.0,8.794144450454713
505.0,8.794317866459524
506.0,8.794459726968082
507.0,8.79420522698606
508.0,8.793836396863686
509.0,8.793269755624353
510.0,8.793244322641986
511.0,8.79308886712749
512.0,8.792476030144517
513.0,8.791326323653042
514.0,8.789482647239765
515.0,8.788203613373655
516.0,8.787120638726304
517.0,8.786218030615602
518.0,8.785766237998967
519.0,8.785593306963985
520.0,8.784778428264831
521.0,8.784171690663573
522.0,8.782922056109626
523.0,8.781462788616484
524.0,8.7802291222865
525.0,8.779826541583938
526.0,8.779382972596524
527.0,8.77902376914232
528.0,8.77895635064915
529.0,8.777600109466492
530.0,8.776791199310406
531.0,8.776383410678825
532.0,8.776454132643941
533.0,8.776945047137573
534.0,8.776771414649604
535.0,8.776953910398257
536.0,8.776658987808199
537.0,8.77591697473472
538.0,8.775694306927882
539.0,8.775994905508654
540.0,8.776065979549498
541.0,8.775534404849926
542.0,8.774848427188735
543.0,8.773601406673539
544.0,8.772735661349003
545.0,8.772317587416206
